priority_rank,tier,tier_label,origin,destination,city_pair,passengers,national_weight,cumulative_coverage,currently_covered,recommended,geographic_reason,source
133,4,TIER 4 - Long tail,MUMBAI (MUMBAI),"GOA (DABOLIM, SOUTH GOA)","MUMBAI (MUMBAI) <-> GOA (DABOLIM, SOUTH GOA)",301307.0,0.0017907573546695837,0.5117037657147566,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
134,4,TIER 4 - Long tail,BHOPAL,DELHI,BHOPAL <-> DELHI,301003.0,0.0017889505920128264,0.5134927163067694,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
135,4,TIER 4 - Long tail,DELHI,SURAT,DELHI <-> SURAT,299101.0,0.0017776464388116677,0.515270362745581,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
136,4,TIER 4 - Long tail,DABOLIM,DELHI,DABOLIM <-> DELHI,298893.0,0.00177641023278336,0.5170467729783644,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
137,4,TIER 4 - Long tail,AHMEDABAD,KOLKATA,AHMEDABAD <-> KOLKATA,297953.0,0.0017708235324631239,0.5188175965108276,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
138,4,TIER 4 - Long tail,BAGDOGRA,KOLKATA,BAGDOGRA <-> KOLKATA,297570.0,0.0017685472492475383,0.5205861437600752,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
139,4,TIER 4 - Long tail,KOLKATA,AHMEDABAD,KOLKATA <-> AHMEDABAD,296693.0,0.0017633349767147222,0.5223494787367899,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
140,4,TIER 4 - Long tail,AHMEDABAD,HYDERABAD,AHMEDABAD <-> HYDERABAD,295820.0,0.0017581464773747581,0.5241076252141647,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
141,4,TIER 4 - Long tail,DELHI,VADODARA,DELHI <-> VADODARA,294146.0,0.0017481973961661673,0.5258558226103308,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
142,4,TIER 4 - Long tail,KOLKATA,BAGDOGRA,KOLKATA <-> BAGDOGRA,293261.0,0.001742937577247647,0.5275987601875785,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
143,4,TIER 4 - Long tail,AHMEDABAD,PUNE,AHMEDABAD <-> PUNE,292337.0,0.001737445969698819,0.5293362061572773,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
144,4,TIER 4 - Long tail,SURAT,DELHI,SURAT <-> DELHI,291773.0,0.0017340939495066774,0.5310703001067839,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
145,4,TIER 4 - Long tail,VADODARA,DELHI,VADODARA <-> DELHI,291743.0,0.001733915650560287,0.5328042157573442,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
146,4,TIER 4 - Long tail,DELHI,BHOPAL,DELHI <-> BHOPAL,291568.0,0.0017328755733730088,0.5345370913307171,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
147,4,TIER 4 - Long tail,HYDERABAD,VISAKHAPATNAM,HYDERABAD <-> VISAKHAPATNAM,291323.0,0.0017314194653108197,0.536268510796028,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
148,4,TIER 4 - Long tail,VISAKHAPATNAM,HYDERABAD,VISAKHAPATNAM <-> HYDERABAD,284912.0,0.0016933169804671663,0.5379618277764951,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
149,4,TIER 4 - Long tail,HYDERABAD,AHMEDABAD,HYDERABAD <-> AHMEDABAD,283282.0,0.001683629404379948,0.5396454571808751,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
150,4,TIER 4 - Long tail,KOLKATA,PORT BLAIR,KOLKATA <-> PORT BLAIR,280245.0,0.0016655796077070148,0.5413110367885821,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
